"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AENJPLPP_02239",2402.19383983673,1.14310546589982,0.0667613643461157,17.122260413576,1.0126565253295e-65,4.48836499506772e-65
"AENJPLPP_02240",2702.2837820603,-1.47019256930066,0.0751507588700291,-19.5632431582402,3.18181452673334e-85,1.68156876621551e-84
"AENJPLPP_02242",312.211641581287,-1.62989522341092,0.12576640415283,-12.9597028267604,2.07048080731309e-38,6.51809741718456e-38
"AENJPLPP_02243",672.127814747574,-1.04133701832189,0.092736897525074,-11.2289395711167,2.93985594739781e-29,8.00080422319853e-29
"AENJPLPP_02249",78.4868858054018,1.15585264233194,0.211126793143245,5.47468478596989,4.38291075202397e-08,7.63339480256807e-08
"AENJPLPP_02253",33.8854087477269,-1.84357561075715,0.341967272347634,-5.39108786083782,7.00324209885665e-08,1.20814223885489e-07
"AENJPLPP_02254",22.4059156645064,-1.34488051252047,0.394043917153609,-3.413021884046,0.000642467827939307,0.000935433157479631
"AENJPLPP_02255",17.4407292930589,4.41087845998648,0.74806114580968,5.89641433015784,3.71485487786539e-09,6.68995510472728e-09
"AENJPLPP_02259",2288.5073462971,-1.15523971131497,0.0667839730599256,-17.2981579020218,4.8567135237757e-67,2.17916021282509e-66
"AENJPLPP_02269",1480.44226064178,-1.60290294969655,0.0759698301911078,-21.0992040611955,8.08861651575262e-99,4.84651261190775e-98
"AENJPLPP_02270",4490.89276974471,-1.02424263767954,0.0620449372654506,-16.508077577667,3.2094526926002e-61,1.36237991849152e-60
"AENJPLPP_02271",926.827388044909,-1.87335569957422,0.0868697704937179,-21.565104741582,3.82052034918482e-103,2.34218005406867e-102
"AENJPLPP_02272",1638.7196960217,-1.86720037162466,0.078035596461138,-23.9275466107898,1.5831515412019e-126,1.13830550320492e-125
"AENJPLPP_02275",4600.93968097768,2.15606361964495,0.0712747705868037,30.2500253861797,5.21327122586969e-201,5.72869653197454e-200
"AENJPLPP_02277",985.050430000635,2.21335238285304,0.0942089044221569,23.4940889762909,4.68763959361588e-122,3.25785357914307e-121
"AENJPLPP_02279",1265.01602102523,2.28332278958741,0.0875295486894647,26.0863082670303,5.21405752619325e-150,4.28907782945614e-149
"AENJPLPP_02280",80.3609432271606,-1.93512385523657,0.22838211457262,-8.47318477131118,2.38773391225899e-17,5.31175030748523e-17
"AENJPLPP_02282",4543.51336951985,-1.23665101526009,0.0614489974854898,-20.1248363010659,4.47246733589566e-90,2.46197067715088e-89
"AENJPLPP_02283",252.781914097904,1.64869100041824,0.137119034147279,12.0237938567113,2.66450576678974e-33,7.72812827977263e-33
"AENJPLPP_02284",200.622477335017,-1.01546838604692,0.139012690199059,-7.3048610496842,2.77553415417775e-13,5.59332557575475e-13
"AENJPLPP_02289",2415.69524004067,-1.23968229758729,0.0695594854657445,-17.8219014888744,4.77842874895984e-71,2.23710362009181e-70
"AENJPLPP_02290",2212.61796473344,5.56599988487924,0.109079539975164,51.0269834851389,0,0
"AENJPLPP_02291",326.050646553338,1.01455928562601,0.120201226694532,8.44050691932053,3.15964348112695e-17,6.98094219805895e-17
"AENJPLPP_02292",74360.7931184035,7.33341085554931,0.0847146594279243,86.5660194477747,0,0
